Time (seconds)	TX1 (dB)	TX2 (dB)	TX3 (dB)	TX4 (dB)	TX5 (dB)	TX6 (dB)	TX7 (dB)	TX8 (dB)	
0.9333	-65.6849+0.7504i	-88.3167+0.7504i	-77.2805+0.7504i	-92.2350+0.7504i	-67.8948+0.7504i	-82.2131+0.7504i	-58.1095+0.7504i	-92.3274+0.7504i
0.9500	-65.7493+0.7504i	-85.5114+0.7504i	-77.2796+0.7504i	-92.2334+0.7504i	-68.0667+0.7504i	-80.8485+0.7504i	-58.1121+0.7504i	-92.3287+0.7504i
0.9667	-65.8785+0.7504i	-83.2363+0.7504i	-77.2779+0.7504i	-92.2305+0.7504i	-68.2677+0.7504i	-79.6938+0.7504i	-58.1071+0.7504i	-92.3310+0.7504i
0.9833	-66.0704+0.7504i	-81.3142+0.7504i	-77.2778+0.7504i	-92.2287+0.7504i	-68.5222+0.7504i	-78.7205+0.7504i	-58.0986+0.7504i	-92.3329+0.7504i
1.0000	-66.3159+0.7504i	-79.6587+0.7504i	-77.2793+0.7504i	-92.2283+0.7504i	-68.8457+0.7504i	-77.8980+0.7504i	-58.0951+0.7504i	-92.3335+0.7504i
1.0167	-66.6081+0.7504i	-78.2229+0.7504i	-77.2803+0.7504i	-92.2282+0.7504i	-69.2239+0.7504i	-77.1880+0.7504i	-58.0997+0.7504i	-92.3338+0.7504i
1.0333	-66.9416+0.7504i	-76.9747+0.7504i	-77.2777+0.7504i	-92.2267+0.7504i	-69.6152+0.7504i	-76.5638+0.7504i	-58.1041+0.7504i	-92.3355+0.7504i
1.0500	-67.3042+0.7504i	-75.8913+0.7504i	-77.2708+0.7504i	-92.2229+0.7504i	-69.9656+0.7504i	-76.0256+0.7504i	-58.1073+0.7504i	-92.3390+0.7504i
1.0667	-67.6831+0.7504i	-74.9549+0.7504i	-77.2623+0.7504i	-92.2176+0.7504i	-70.2479+0.7504i	-75.5871+0.7504i	-58.1078+0.7504i	-92.3434+0.7504i
1.0833	-68.0723+0.7504i	-74.1540+0.7504i	-77.2539+0.7504i	-92.2122+0.7504i	-70.4677+0.7504i	-75.2440+0.7504i	-58.1022+0.7504i	-92.3477+0.7504i
1.1000	-68.4626+0.7504i	-73.4912+0.7504i	-77.2483+0.7504i	-92.2085+0.7504i	-70.6312+0.7504i	-74.9805+0.7504i	-58.0913+0.7504i	-92.3511+0.7504i
1.1167	-68.8388+0.7504i	-72.9761+0.7504i	-77.2463+0.7504i	-92.2074+0.7504i	-70.7316+0.7504i	-74.7834+0.7504i	-58.0761+0.7504i	-92.3528+0.7504i
1.1333	-69.1688+0.7504i	-72.6194+0.7504i	-77.2476+0.7504i	-92.2084+0.7504i	-70.7526+0.7504i	-74.6627+0.7504i	-58.0568+0.7504i	-92.3527+0.7504i
1.1500	-69.4308+0.7504i	-72.4239+0.7504i	-77.2513+0.7504i	-92.2103+0.7504i	-70.6870+0.7504i	-74.6325+0.7504i	-58.0332+0.7504i	-92.3515+0.7504i
1.1667	-69.6169+0.7504i	-72.3804+0.7504i	-77.2559+0.7504i	-92.2120+0.7504i	-70.5503+0.7504i	-74.6947+0.7504i	-58.0069+0.7504i	-92.3501+0.7504i
1.1833	-69.7299+0.7504i	-72.4643+0.7504i	-77.2611+0.7504i	-92.2134+0.7504i	-70.3702+0.7504i	-74.8386+0.7504i	-57.9818+0.7504i	-92.3490+0.7504i
1.2000	-69.7784+0.7504i	-72.6391+0.7504i	-77.2661+0.7504i	-92.2145+0.7504i	-70.1748+0.7504i	-75.1111+0.7504i	-57.9595+0.7504i	-92.3480+0.7504i
1.2167	-69.7615+0.7504i	-72.8685+0.7504i	-77.2704+0.7504i	-92.2152+0.7504i	-69.9733+0.7504i	-75.4215+0.7504i	-57.9398+0.7504i	-92.3473+0.7504i
1.2333	-69.6876+0.7504i	-73.1246+0.7504i	-77.2735+0.7504i	-92.2152+0.7504i	-69.7707+0.7504i	-75.7232+0.7504i	-57.9201+0.7504i	-92.3469+0.7504i
1.2500	-69.5754+0.7504i	-73.3892+0.7504i	-77.2766+0.7504i	-92.2151+0.7504i	-69.5857+0.7504i	-76.0982+0.7504i	-57.8980+0.7504i	-92.3467+0.7504i
1.2667	-69.4447+0.7504i	-73.6552+0.7504i	-77.2792+0.7504i	-92.2149+0.7504i	-69.4388+0.7504i	-76.5430+0.7504i	-57.8747+0.7504i	-92.3466+0.7504i
1.2833	-69.3101+0.7504i	-73.9265+0.7504i	-77.2814+0.7504i	-92.2149+0.7504i	-69.3364+0.7504i	-76.9798+0.7504i	-57.8539+0.7504i	-92.3461+0.7504i
1.3000	-69.1836+0.7504i	-74.1957+0.7504i	-77.2828+0.7504i	-92.2153+0.7504i	-69.2641+0.7504i	-77.3757+0.7504i	-57.8388+0.7504i	-92.3447+0.7504i
1.3167	-69.0681+0.7504i	-74.4547+0.7504i	-77.2838+0.7504i	-92.2160+0.7504i	-69.2029+0.7504i	-77.7110+0.7504i	-57.8278+0.7504i	-92.3424+0.7504i
1.3333	-68.9693+0.7504i	-74.7046+0.7504i	-77.2851+0.7504i	-92.2169+0.7504i	-69.1530+0.7504i	-77.9703+0.7504i	-57.8152+0.7504i	-92.3397+0.7504i
1.3500	-68.8909+0.7504i	-74.9470+0.7504i	-77.2869+0.7504i	-92.2181+0.7504i	-69.1288+0.7504i	-78.1384+0.7504i	-57.7967+0.7504i	-92.3373+0.7504i
1.3667	-68.8332+0.7504i	-75.1729+0.7504i	-77.2883+0.7504i	-92.2188+0.7504i	-69.1307+0.7504i	-78.2193+0.7504i	-57.7715+0.7504i	-92.3365+0.7504i
1.3833	-68.7866+0.7504i	-75.3614+0.7504i	-77.2879+0.7504i	-92.2180+0.7504i	-69.1280+0.7504i	-78.2384+0.7504i	-57.7408+0.7504i	-92.3381+0.7504i
1.4000	-68.7402+0.7504i	-75.5010+0.7504i	-77.2863+0.7504i	-92.2157+0.7504i	-69.0847+0.7504i	-78.2212+0.7504i	-57.7061+0.7504i	-92.3419+0.7504i
1.4167	-68.7009+0.7504i	-75.5934+0.7504i	-77.2856+0.7504i	-92.2132+0.7504i	-68.9902+0.7504i	-78.1701+0.7504i	-57.6645+0.7504i	-92.3463+0.7504i
1.4333	-68.6890+0.7504i	-75.6606+0.7504i	-77.2874+0.7504i	-92.2128+0.7504i	-68.8609+0.7504i	-78.0705+0.7504i	-57.6155+0.7504i	-92.3497+0.7504i
1.4500	-68.7213+0.7504i	-75.7321+0.7504i	-77.2933+0.7504i	-92.2162+0.7504i	-68.7201+0.7504i	-77.9084+0.7504i	-57.5627+0.7504i	-92.3514+0.7504i
1.4667	-68.7997+0.7504i	-75.8222+0.7504i	-77.3034+0.7504i	-92.2239+0.7504i	-68.5897+0.7504i	-77.6898+0.7504i	-57.5113+0.7504i	-92.3515+0.7504i
1.4833	-68.9192+0.7504i	-75.9331+0.7504i	-77.3166+0.7504i	-92.2350+0.7504i	-68.4880+0.7504i	-77.4295+0.7504i	-57.4646+0.7504i	-92.3497+0.7504i
1.5000	-69.0703+0.7504i	-76.0449+0.7504i	-77.3311+0.7504i	-92.2474+0.7504i	-68.4196+0.7504i	-77.1392+0.7504i	-57.4254+0.7504i	-92.3458+0.7504i
1.5167	-69.2357+0.7504i	-76.1362+0.7504i	-77.3437+0.7504i	-92.2587+0.7504i	-68.3761+0.7504i	-76.8286+0.7504i	-57.3964+0.7504i	-92.3396+0.7504i
1.5333	-69.3907+0.7504i	-76.2005+0.7504i	-77.3529+0.7504i	-92.2681+0.7504i	-68.3352+0.7504i	-76.5188+0.7504i	-57.3794+0.7504i	-92.3313+0.7504i
1.5500	-69.5106+0.7504i	-76.2549+0.7504i	-77.3582+0.7504i	-92.2754+0.7504i	-68.2719+0.7504i	-76.2396+0.7504i	-57.3764+0.7504i	-92.3217+0.7504i
1.5667	-69.5896+0.7504i	-76.3225+0.7504i	-77.3599+0.7504i	-92.2811+0.7504i	-68.1834+0.7504i	-76.0204+0.7504i	-57.3869+0.7504i	-92.3113+0.7504i
