Time (seconds)	TX1 (dB)	TX2 (dB)	TX3 (dB)	TX4 (dB)	TX5 (dB)	TX6 (dB)	TX7 (dB)	TX8 (dB)	
12.7167	-68.3133+0.7504i	-79.4546+0.7504i	-77.0642+0.7504i	-92.0088+0.7504i	-67.8855+0.7504i	-76.9227+0.7504i	-59.2400+0.7504i	-92.6972+0.7504i
12.7333	-68.4768+0.7504i	-79.5243+0.7504i	-77.0897+0.7504i	-92.0323+0.7504i	-67.8119+0.7504i	-76.6127+0.7504i	-59.1656+0.7504i	-92.7023+0.7504i
12.7500	-68.6160+0.7504i	-79.5286+0.7504i	-77.1228+0.7504i	-92.0612+0.7504i	-67.7451+0.7504i	-76.3201+0.7504i	-59.0539+0.7504i	-92.7032+0.7504i
12.7667	-68.7320+0.7504i	-79.4466+0.7504i	-77.1641+0.7504i	-92.0948+0.7504i	-67.6154+0.7504i	-76.0325+0.7504i	-58.8900+0.7504i	-92.6942+0.7504i
12.7833	-68.8494+0.7504i	-79.2891+0.7504i	-77.2115+0.7504i	-92.1315+0.7504i	-67.4004+0.7504i	-75.7462+0.7504i	-58.6943+0.7504i	-92.6753+0.7504i
12.8000	-69.0126+0.7504i	-79.0745+0.7504i	-77.2634+0.7504i	-92.1707+0.7504i	-67.1292+0.7504i	-75.4731+0.7504i	-58.4831+0.7504i	-92.6493+0.7504i
12.8167	-69.2578+0.7504i	-78.8034+0.7504i	-77.3175+0.7504i	-92.2124+0.7504i	-66.8454+0.7504i	-75.2174+0.7504i	-58.2669+0.7504i	-92.6202+0.7504i
12.8333	-69.5716+0.7504i	-78.4648+0.7504i	-77.3757+0.7504i	-92.2574+0.7504i	-66.5717+0.7504i	-74.9840+0.7504i	-58.0563+0.7504i	-92.5905+0.7504i
12.8500	-69.8986+0.7504i	-78.0539+0.7504i	-77.4218+0.7504i	-92.2986+0.7504i	-66.3238+0.7504i	-74.7904+0.7504i	-57.8626+0.7504i	-92.5597+0.7504i
12.8667	-70.1857+0.7504i	-77.5780+0.7504i	-77.5005+0.7504i	-92.3574+0.7504i	-66.1299+0.7504i	-74.6564+0.7504i	-57.6993+0.7504i	-92.5264+0.7504i
12.8833	-70.4079+0.7504i	-77.0455+0.7504i	-77.5905+0.7504i	-92.4522+0.7504i	-66.0186+0.7504i	-74.6038+0.7504i	-57.5752+0.7504i	-92.4907+0.7504i
12.9000	-70.5559+0.7504i	-76.4829+0.7504i	-77.6833+0.7504i	-92.5900+0.7504i	-65.9945+0.7504i	-74.6605+0.7504i	-57.4873+0.7504i	-92.4527+0.7504i
12.9167	-70.6121+0.7504i	-75.9482+0.7504i	-77.7697+0.7504i	-92.7658+0.7504i	-66.0320+0.7504i	-74.8553+0.7504i	-57.4228+0.7504i	-92.4131+0.7504i
12.9333	-70.5509+0.7504i	-75.5097+0.7504i	-77.8397+0.7504i	-92.9589+0.7504i	-66.0854+0.7504i	-75.1848+0.7504i	-57.3738+0.7504i	-92.3734+0.7504i
12.9500	-70.3160+0.7504i	-75.2654+0.7504i	-77.8884+0.7504i	-93.1536+0.7504i	-66.1182+0.7504i	-75.6676+0.7504i	-57.3446+0.7504i	-92.3365+0.7504i
12.9667	-69.9590+0.7504i	-75.1790+0.7504i	-77.9106+0.7504i	-93.3360+0.7504i	-66.1066+0.7504i	-76.1728+0.7504i	-57.3416+0.7504i	-92.3047+0.7504i
12.9833	-69.5348+0.7504i	-75.2402+0.7504i	-77.9031+0.7504i	-93.4992+0.7504i	-66.0791+0.7504i	-76.6930+0.7504i	-57.3635+0.7504i	-92.2785+0.7504i
13.0000	-69.1036+0.7504i	-75.4248+0.7504i	-77.8658+0.7504i	-93.6378+0.7504i	-66.0757+0.7504i	-77.2005+0.7504i	-57.4028+0.7504i	-92.2578+0.7504i
13.0167	-68.6992+0.7504i	-75.7222+0.7504i	-77.8039+0.7504i	-93.7446+0.7504i	-66.1201+0.7504i	-77.6806+0.7504i	-57.4555+0.7504i	-92.2414+0.7504i
13.0333	-68.3261+0.7504i	-76.1344+0.7504i	-77.7277+0.7504i	-93.8089+0.7504i	-66.2182+0.7504i	-78.1210+0.7504i	-57.5207+0.7504i	-92.2255+0.7504i
13.0500	-67.9733+0.7504i	-76.6486+0.7504i	-77.6496+0.7504i	-93.8217+0.7504i	-66.3692+0.7504i	-78.5254+0.7504i	-57.6018+0.7504i	-92.2067+0.7504i
13.0667	-67.6447+0.7504i	-77.2223+0.7504i	-77.5760+0.7504i	-93.7784+0.7504i	-66.5576+0.7504i	-78.9480+0.7504i	-57.6980+0.7504i	-92.1880+0.7504i
13.0833	-67.3541+0.7504i	-77.8122+0.7504i	-77.5068+0.7504i	-93.6839+0.7504i	-66.7485+0.7504i	-79.4753+0.7504i	-57.8058+0.7504i	-92.1717+0.7504i
13.1000	-67.1099+0.7504i	-78.3990+0.7504i	-77.4412+0.7504i	-93.5513+0.7504i	-66.9038+0.7504i	-80.2008+0.7504i	-57.9192+0.7504i	-92.1612+0.7504i
13.1167	-66.9079+0.7504i	-78.9742+0.7504i	-77.3814+0.7504i	-93.3962+0.7504i	-67.0093+0.7504i	-81.1713+0.7504i	-58.0299+0.7504i	-92.1587+0.7504i
13.1333	-66.7435+0.7504i	-79.5372+0.7504i	-77.3277+0.7504i	-93.2322+0.7504i	-67.0727+0.7504i	-82.3181+0.7504i	-58.1329+0.7504i	-92.1657+0.7504i
13.1500	-66.6350+0.7504i	-80.1162+0.7504i	-77.2753+0.7504i	-93.0673+0.7504i	-67.1008+0.7504i	-83.4259+0.7504i	-58.2291+0.7504i	-92.1828+0.7504i
13.1667	-66.6083+0.7504i	-80.7479+0.7504i	-77.2173+0.7504i	-92.9049+0.7504i	-67.0895+0.7504i	-84.2398+0.7504i	-58.3218+0.7504i	-92.2082+0.7504i
13.1833	-66.6694+0.7504i	-81.4468+0.7504i	-77.1471+0.7504i	-92.7417+0.7504i	-67.0334+0.7504i	-84.6328+0.7504i	-58.4138+0.7504i	-92.2366+0.7504i
13.2000	-66.7927+0.7504i	-82.2013+0.7504i	-77.0733+0.7504i	-92.5884+0.7504i	-66.9363+0.7504i	-84.6575+0.7504i	-58.5001+0.7504i	-92.2609+0.7504i
13.2167	-66.9292+0.7504i	-82.9667+0.7504i	-77.0092+0.7504i	-92.4527+0.7504i	-66.8139+0.7504i	-84.4727+0.7504i	-58.5832+0.7504i	-92.2732+0.7504i
13.2333	-67.0230+0.7504i	-83.6515+0.7504i	-76.9623+0.7504i	-92.3311+0.7504i	-66.7037+0.7504i	-84.2265+0.7504i	-58.6636+0.7504i	-92.2698+0.7504i
13.2500	-67.0543+0.7504i	-84.1631+0.7504i	-76.9325+0.7504i	-92.2423+0.7504i	-66.6287+0.7504i	-84.0715+0.7504i	-58.7390+0.7504i	-92.2550+0.7504i
13.2667	-67.0279+0.7504i	-84.4270+0.7504i	-76.9165+0.7504i	-92.1710+0.7504i	-66.5995+0.7504i	-84.0685+0.7504i	-58.8084+0.7504i	-92.2362+0.7504i
13.2833	-66.9619+0.7504i	-84.4109+0.7504i	-76.9104+0.7504i	-92.1211+0.7504i	-66.6181+0.7504i	-84.1807+0.7504i	-58.8726+0.7504i	-92.2205+0.7504i
13.3000	-66.8779+0.7504i	-84.1390+0.7504i	-76.9107+0.7504i	-92.0966+0.7504i	-66.6784+0.7504i	-84.3141+0.7504i	-58.9350+0.7504i	-92.2121+0.7504i
13.3167	-66.8022+0.7504i	-83.6981+0.7504i	-76.9153+0.7504i	-92.0953+0.7504i	-66.7675+0.7504i	-84.3596+0.7504i	-58.9999+0.7504i	-92.2116+0.7504i
13.3333	-66.7575+0.7504i	-83.1976+0.7504i	-76.9236+0.7504i	-92.1121+0.7504i	-66.8718+0.7504i	-84.2218+0.7504i	-59.0748+0.7504i	-92.2145+0.7504i
13.3500	-66.7529+0.7504i	-82.7151+0.7504i	-76.9363+0.7504i	-92.1389+0.7504i	-66.9876+0.7504i	-83.9278+0.7504i	-59.1629+0.7504i	-92.2169+0.7504i
13.3667	-66.7667+0.7504i	-82.2293+0.7504i	-76.9514+0.7504i	-92.1635+0.7504i	-67.1274+0.7504i	-83.7231+0.7504i	-59.2629+0.7504i	-92.2204+0.7504i
13.3833	-66.7688+0.7504i	-81.6605+0.7504i	-76.9645+0.7504i	-92.1751+0.7504i	-67.3011+0.7504i	-84.0265+0.7504i	-59.3913+0.7504i	-92.2184+0.7504i
13.4000	-66.7331+0.7504i	-80.9493+0.7504i	-76.9754+0.7504i	-92.1703+0.7504i	-67.5043+0.7504i	-85.1681+0.7504i	-59.5360+0.7504i	-92.2150+0.7504i
13.4167	-66.6568+0.7504i	-80.1040+0.7504i	-76.9855+0.7504i	-92.1527+0.7504i	-67.7383+0.7504i	-87.0518+0.7504i	-59.6699+0.7504i	-92.2118+0.7504i
13.4333	-66.5608+0.7504i	-79.1879+0.7504i	-76.9926+0.7504i	-92.1270+0.7504i	-68.0178+0.7504i	-88.7570+0.7504i	-59.7401+0.7504i	-92.2152+0.7504i
13.4500	-66.4725+0.7504i	-78.2817+0.7504i	-76.9931+0.7504i	-92.0969+0.7504i	-68.3471+0.7504i	-88.8587+0.7504i	-59.6939+0.7504i	-92.2341+0.7504i
13.4667	-66.4085+0.7504i	-77.4334+0.7504i	-76.9858+0.7504i	-92.0650+0.7504i	-68.7029+0.7504i	-87.3166+0.7504i	-59.5251+0.7504i	-92.2735+0.7504i
13.4833	-66.3681+0.7504i	-76.6448+0.7504i	-76.9706+0.7504i	-92.0328+0.7504i	-69.0490+0.7504i	-85.3531+0.7504i	-59.2623+0.7504i	-92.3438+0.7504i
13.5000	-66.3463+0.7504i	-75.9142+0.7504i	-76.9459+0.7504i	-91.9997+0.7504i	-69.3406+0.7504i	-83.7651+0.7504i	-58.9646+0.7504i	-92.4523+0.7504i
13.5167	-66.3408+0.7504i	-75.2746+0.7504i	-76.9118+0.7504i	-91.9659+0.7504i	-69.5297+0.7504i	-82.7043+0.7504i	-58.6200+0.7504i	-92.6611+0.7504i
13.5333	-66.3310+0.7504i	-74.7652+0.7504i	-76.8736+0.7504i	-91.9342+0.7504i	-69.5897+0.7504i	-82.0418+0.7504i	-58.3375+0.7504i	-92.9023+0.7504i
13.5500	-66.2890+0.7504i	-74.4026+0.7504i	-76.8386+0.7504i	-91.9072+0.7504i	-69.5211+0.7504i	-81.8289+0.7504i	-58.1322+0.7504i	-93.1470+0.7504i
13.5667	-66.1932+0.7504i	-74.1868+0.7504i	-76.8115+0.7504i	-91.8846+0.7504i	-69.3726+0.7504i	-81.6691+0.7504i	-57.9946+0.7504i	-93.3873+0.7504i
13.5833	-66.0502+0.7504i	-74.1193+0.7504i	-76.7937+0.7504i	-91.8648+0.7504i	-69.1633+0.7504i	-81.7104+0.7504i	-57.9181+0.7504i	-93.6179+0.7504i
13.6000	-65.8951+0.7504i	-74.2104+0.7504i	-76.7858+0.7504i	-91.8478+0.7504i	-68.9202+0.7504i	-81.9160+0.7504i	-57.8945+0.7504i	-93.8311+0.7504i
13.6167	-65.7771+0.7504i	-74.4623+0.7504i	-76.7876+0.7504i	-91.8353+0.7504i	-68.6780+0.7504i	-82.2260+0.7504i	-57.9133+0.7504i	-94.0140+0.7504i
13.6333	-65.7398+0.7504i	-74.8534+0.7504i	-76.7983+0.7504i	-91.8294+0.7504i	-68.4743+0.7504i	-82.5708+0.7504i	-57.9623+0.7504i	-94.1479+0.7504i
13.6500	-65.8162+0.7504i	-75.3269+0.7504i	-76.8170+0.7504i	-91.8313+0.7504i	-68.3269+0.7504i	-82.8918+0.7504i	-58.0253+0.7504i	-94.2133+0.7504i
13.6667	-66.0101+0.7504i	-75.8088+0.7504i	-76.8420+0.7504i	-91.8398+0.7504i	-68.2267+0.7504i	-83.1663+0.7504i	-58.0904+0.7504i	-94.1999+0.7504i
13.6833	-66.2906+0.7504i	-76.2439+0.7504i	-76.8703+0.7504i	-91.8523+0.7504i	-68.1530+0.7504i	-83.4061+0.7504i	-58.1562+0.7504i	-94.1138+0.7504i
13.7000	-66.6030+0.7504i	-76.6163+0.7504i	-76.8993+0.7504i	-91.8665+0.7504i	-68.0811+0.7504i	-83.6212+0.7504i	-58.2297+0.7504i	-93.9771+0.7504i
13.7167	-66.8918+0.7504i	-76.9651+0.7504i	-76.9270+0.7504i	-91.8812+0.7504i	-67.9837+0.7504i	-83.7861+0.7504i	-58.3101+0.7504i	-93.8110+0.7504i
13.7333	-67.1201+0.7504i	-77.2810+0.7504i	-76.9540+0.7504i	-91.8973+0.7504i	-67.8490+0.7504i	-83.8301+0.7504i	-58.3911+0.7504i	-93.6244+0.7504i
13.7500	-67.2328+0.7504i	-77.7871+0.7504i	-76.9826+0.7504i	-91.9170+0.7504i	-67.6772+0.7504i	-83.6506+0.7504i	-58.4679+0.7504i	-93.4147+0.7504i
13.7667	-67.2388+0.7504i	-78.3376+0.7504i	-77.0151+0.7504i	-91.9417+0.7504i	-67.4593+0.7504i	-83.1918+0.7504i	-58.5402+0.7504i	-93.1790+0.7504i
13.7833	-67.1505+0.7504i	-78.8812+0.7504i	-77.0484+0.7504i	-91.9688+0.7504i	-67.1982+0.7504i	-82.5379+0.7504i	-58.6214+0.7504i	-92.9228+0.7504i
13.8000	-67.0261+0.7504i	-79.3729+0.7504i	-77.0757+0.7504i	-91.9925+0.7504i	-66.9363+0.7504i	-81.8601+0.7504i	-58.5999+0.7504i	-92.7527+0.7504i
13.8167	-66.9471+0.7504i	-79.7981+0.7504i	-77.0913+0.7504i	-92.0079+0.7504i	-66.7456+0.7504i	-81.2869+0.7504i	-58.5410+0.7504i	-92.6234+0.7504i
13.8333	-66.9691+0.7504i	-80.1449+0.7504i	-77.0951+0.7504i	-92.0149+0.7504i	-66.6818+0.7504i	-80.8341+0.7504i	-58.4293+0.7504i	-92.5403+0.7504i
13.8500	-67.0764+0.7504i	-80.4180+0.7504i	-77.0921+0.7504i	-92.0158+0.7504i	-66.7824+0.7504i	-80.4865+0.7504i	-58.3213+0.7504i	-92.4996+0.7504i
13.8667	-67.2285+0.7504i	-80.6101+0.7504i	-77.0891+0.7504i	-92.0154+0.7504i	-67.0224+0.7504i	-80.1882+0.7504i	-58.1900+0.7504i	-92.4805+0.7504i
13.8833	-67.3673+0.7504i	-80.6973+0.7504i	-77.0911+0.7504i	-92.0179+0.7504i	-67.2903+0.7504i	-79.8675+0.7504i	-58.0659+0.7504i	-92.4737+0.7504i
13.9000	-67.4251+0.7504i	-80.6395+0.7504i	-77.1010+0.7504i	-92.0253+0.7504i	-67.4477+0.7504i	-79.4662+0.7504i	-57.9780+0.7504i	-92.4706+0.7504i
13.9167	-67.3611+0.7504i	-80.4145+0.7504i	-77.1183+0.7504i	-92.0369+0.7504i	-67.4315+0.7504i	-78.9768+0.7504i	-57.9356+0.7504i	-92.4659+0.7504i
13.9333	-67.1849+0.7504i	-80.0665+0.7504i	-77.1433+0.7504i	-92.0526+0.7504i	-67.2737+0.7504i	-78.4320+0.7504i	-57.9149+0.7504i	-92.4567+0.7504i
13.9500	-66.9647+0.7504i	-79.6998+0.7504i	-77.1768+0.7504i	-92.0744+0.7504i	-67.0590+0.7504i	-77.8628+0.7504i	-57.8839+0.7504i	-92.4388+0.7504i
13.9667	-66.7880+0.7504i	-79.3953+0.7504i	-77.2192+0.7504i	-92.1040+0.7504i	-66.8631+0.7504i	-77.3006+0.7504i	-57.8184+0.7504i	-92.4085+0.7504i
13.9833	-66.7015+0.7504i	-79.1745+0.7504i	-77.2677+0.7504i	-92.1401+0.7504i	-66.7059+0.7504i	-76.7716+0.7504i	-57.7245+0.7504i	-92.3654+0.7504i
14.0000	-66.6924+0.7504i	-79.0283+0.7504i	-77.3185+0.7504i	-92.1780+0.7504i	-66.5840+0.7504i	-76.3016+0.7504i	-57.6161+0.7504i	-92.3155+0.7504i
14.0167	-66.7516+0.7504i	-78.8998+0.7504i	-77.3711+0.7504i	-92.2154+0.7504i	-66.4860+0.7504i	-75.9082+0.7504i	-57.5046+0.7504i	-92.2699+0.7504i
14.0333	-66.8742+0.7504i	-78.7061+0.7504i	-77.4280+0.7504i	-92.2536+0.7504i	-66.4144+0.7504i	-75.6376+0.7504i	-57.3882+0.7504i	-92.2363+0.7504i
14.0500	-67.0520+0.7504i	-78.3744+0.7504i	-77.4959+0.7504i	-92.2981+0.7504i	-66.3803+0.7504i	-75.5659+0.7504i	-57.2629+0.7504i	-92.2127+0.7504i
14.0667	-67.2675+0.7504i	-77.8994+0.7504i	-77.5598+0.7504i	-92.3436+0.7504i	-66.3865+0.7504i	-75.7846+0.7504i	-57.1296+0.7504i	-92.1912+0.7504i
14.0833	-67.5066+0.7504i	-77.3329+0.7504i	-77.6660+0.7504i	-92.4244+0.7504i	-66.4282+0.7504i	-76.4408+0.7504i	-56.9942+0.7504i	-92.1666+0.7504i
14.1000	-67.7545+0.7504i	-76.7190+0.7504i	-77.7862+0.7504i	-92.5540+0.7504i	-66.4997+0.7504i	-77.7841+0.7504i	-56.8649+0.7504i	-92.1380+0.7504i
14.1167	-67.9645+0.7504i	-76.1115+0.7504i	-77.9135+0.7504i	-92.7440+0.7504i	-66.5753+0.7504i	-80.4490+0.7504i	-56.7537+0.7504i	-92.1066+0.7504i
14.1333	-68.0593+0.7504i	-75.6231+0.7504i	-78.0274+0.7504i	-92.9705+0.7504i	-66.5837+0.7504i	-84.7061+0.7504i	-56.6771+0.7504i	-92.0772+0.7504i
14.1500	-67.9795+0.7504i	-75.3670+0.7504i	-78.1137+0.7504i	-93.2077+0.7504i	-66.4576+0.7504i	-92.5793+0.7504i	-56.6462+0.7504i	-92.0580+0.7504i
14.1667	-67.7728+0.7504i	-75.2926+0.7504i	-78.1623+0.7504i	-93.4325+0.7504i	-66.1804+0.7504i	-107.2990+0.7504i	-56.6593+0.7504i	-92.0569+0.7504i
14.1833	-67.5140+0.7504i	-75.3314+0.7504i	-78.1694+0.7504i	-93.6300+0.7504i	-65.7948+0.7504i	-92.1716+0.7504i	-56.6989+0.7504i	-92.0768+0.7504i
14.2000	-67.2483+0.7504i	-75.4462+0.7504i	-78.1395+0.7504i	-93.7916+0.7504i	-65.3476+0.7504i	-87.6389+0.7504i	-56.7421+0.7504i	-92.1136+0.7504i
14.2167	-66.9841+0.7504i	-75.6659+0.7504i	-78.0839+0.7504i	-93.9113+0.7504i	-64.8752+0.7504i	-84.4703+0.7504i	-56.7743+0.7504i	-92.1573+0.7504i
14.2333	-66.7281+0.7504i	-76.0441+0.7504i	-78.0160+0.7504i	-93.9810+0.7504i	-64.4353+0.7504i	-81.8907+0.7504i	-56.7912+0.7504i	-92.1985+0.7504i
14.2500	-66.4975+0.7504i	-76.6083+0.7504i	-77.9454+0.7504i	-93.9913+0.7504i	-64.1089+0.7504i	-79.9322+0.7504i	-56.7988+0.7504i	-92.2332+0.7504i
14.2667	-66.2953+0.7504i	-77.3708+0.7504i	-77.8768+0.7504i	-93.9394+0.7504i	-63.9666+0.7504i	-78.5642+0.7504i	-56.8088+0.7504i	-92.2609+0.7504i
14.2833	-66.1009+0.7504i	-78.3458+0.7504i	-77.8100+0.7504i	-93.8330+0.7504i	-64.0351+0.7504i	-77.6159+0.7504i	-56.8407+0.7504i	-92.2830+0.7504i
14.3000	-65.8977+0.7504i	-79.5407+0.7504i	-77.7399+0.7504i	-93.6818+0.7504i	-64.2950+0.7504i	-76.8820+0.7504i	-56.9136+0.7504i	-92.3013+0.7504i
14.3167	-65.7073+0.7504i	-80.9575+0.7504i	-77.6580+0.7504i	-93.4923+0.7504i	-64.6737+0.7504i	-76.2426+0.7504i	-57.0369+0.7504i	-92.3175+0.7504i
14.3333	-65.5739+0.7504i	-82.6082+0.7504i	-77.5589+0.7504i	-93.2740+0.7504i	-65.0664+0.7504i	-75.6845+0.7504i	-57.2041+0.7504i	-92.3308+0.7504i
14.3500	-65.5277+0.7504i	-84.5048+0.7504i	-77.4434+0.7504i	-93.0408+0.7504i	-65.3959+0.7504i	-75.2371+0.7504i	-57.3981+0.7504i	-92.3387+0.7504i
14.3667	-65.5619+0.7504i	-86.6160+0.7504i	-77.3177+0.7504i	-92.8076+0.7504i	-65.6593+0.7504i	-74.9172+0.7504i	-57.6019+0.7504i	-92.3403+0.7504i
14.3833	-65.6406+0.7504i	-88.8574+0.7504i	-77.1907+0.7504i	-92.5856+0.7504i	-65.9131+0.7504i	-74.7271+0.7504i	-57.8046+0.7504i	-92.3374+0.7504i
14.4000	-65.7170+0.7504i	-91.0731+0.7504i	-77.0825+0.7504i	-92.3972+0.7504i	-66.2072+0.7504i	-74.6757+0.7504i	-57.9988+0.7504i	-92.3323+0.7504i
14.4167	-65.7496+0.7504i	-93.0182+0.7504i	-77.0178+0.7504i	-92.2624+0.7504i	-66.5471+0.7504i	-74.7791+0.7504i	-58.1749+0.7504i	-92.3259+0.7504i
14.4333	-65.7298+0.7504i	-94.4734+0.7504i	-76.9933+0.7504i	-92.1638+0.7504i	-66.9231+0.7504i	-75.0506+0.7504i	-58.3222+0.7504i	-92.3170+0.7504i
14.4500	-65.6835+0.7504i	-95.4613+0.7504i	-77.0073+0.7504i	-92.0929+0.7504i	-67.3560+0.7504i	-75.5091+0.7504i	-58.4415+0.7504i	-92.3045+0.7504i
14.4667	-65.6526+0.7504i	-96.2541+0.7504i	-76.9973+0.7504i	-92.0110+0.7504i	-67.9141+0.7504i	-76.1769+0.7504i	-58.5496+0.7504i	-92.2890+0.7504i
14.4833	-65.6612+0.7504i	-97.0921+0.7504i	-76.9777+0.7504i	-91.9382+0.7504i	-68.6825+0.7504i	-77.0798+0.7504i	-58.6769+0.7504i	-92.2725+0.7504i
14.5000	-65.7061+0.7504i	-98.0346+0.7504i	-76.9552+0.7504i	-91.8877+0.7504i	-69.6960+0.7504i	-78.2475+0.7504i	-58.8467+0.7504i	-92.2574+0.7504i
14.5167	-65.7663+0.7504i	-98.9595+0.7504i	-76.9419+0.7504i	-91.8659+0.7504i	-70.8437+0.7504i	-79.7001+0.7504i	-59.0381+0.7504i	-92.2475+0.7504i
14.5333	-65.8276+0.7504i	-99.7004+0.7504i	-76.9469+0.7504i	-91.8745+0.7504i	-71.8358+0.7504i	-81.4132+0.7504i	-59.2493+0.7504i	-92.2398+0.7504i
14.5500	-65.8878+0.7504i	-100.0830+0.7504i	-76.9652+0.7504i	-91.8956+0.7504i	-72.3435+0.7504i	-83.3136+0.7504i	-59.4180+0.7504i	-92.2380+0.7504i
14.5667	-65.9427+0.7504i	-99.9121+0.7504i	-76.9834+0.7504i	-91.9075+0.7504i	-72.2214+0.7504i	-85.3524+0.7504i	-59.4810+0.7504i	-92.2468+0.7504i
14.5833	-65.9741+0.7504i	-98.9532+0.7504i	-76.9940+0.7504i	-91.9063+0.7504i	-71.5903+0.7504i	-87.5322+0.7504i	-59.4418+0.7504i	-92.2670+0.7504i
14.6000	-65.9594+0.7504i	-97.2169+0.7504i	-76.9870+0.7504i	-91.8889+0.7504i	-70.7262+0.7504i	-89.8631+0.7504i	-59.3281+0.7504i	-92.3002+0.7504i
14.6167	-65.8871+0.7504i	-94.9982+0.7504i	-76.9527+0.7504i	-91.8534+0.7504i	-69.8736+0.7504i	-92.3506+0.7504i	-59.1779+0.7504i	-92.3495+0.7504i
14.6333	-65.7640+0.7504i	-92.6402+0.7504i	-76.8854+0.7504i	-91.7981+0.7504i	-69.1591+0.7504i	-94.9527+0.7504i	-59.0615+0.7504i	-92.4116+0.7504i
14.6500	-65.6129+0.7504i	-90.3136+0.7504i	-76.7922+0.7504i	-91.7287+0.7504i	-68.6112+0.7504i	-97.4665+0.7504i	-58.8574+0.7504i	-92.5136+0.7504i
14.6667	-65.4739+0.7504i	-88.1244+0.7504i	-76.6891+0.7504i	-91.6540+0.7504i	-68.2167+0.7504i	-99.5477+0.7504i	-58.6389+0.7504i	-92.6576+0.7504i
14.6833	-65.3940+0.7504i	-86.1046+0.7504i	-76.5950+0.7504i	-91.5850+0.7504i	-67.9514+0.7504i	-100.9410+0.7504i	-58.4046+0.7504i	-92.8409+0.7504i
14.7000	-65.3967+0.7504i	-84.2338+0.7504i	-76.5199+0.7504i	-91.5276+0.7504i	-67.8001+0.7504i	-101.5549+0.7504i	-58.1354+0.7504i	-93.1066+0.7504i
14.7167	-65.4781+0.7504i	-82.4779+0.7504i	-76.4646+0.7504i	-91.4829+0.7504i	-67.7126+0.7504i	-101.7304+0.7504i	-57.8680+0.7504i	-93.3945+0.7504i
14.7333	-65.6038+0.7504i	-80.8241+0.7504i	-76.4196+0.7504i	-91.4466+0.7504i	-67.7291+0.7504i	-100.6693+0.7504i	-57.6457+0.7504i	-93.6634+0.7504i
14.7500	-65.7241+0.7504i	-79.2814+0.7504i	-76.3759+0.7504i	-91.4155+0.7504i	-67.7768+0.7504i	-99.2377+0.7504i	-57.5077+0.7504i	-93.8978+0.7504i
14.7667	-65.8076+0.7504i	-77.8803+0.7504i	-76.3277+0.7504i	-91.3845+0.7504i	-67.8185+0.7504i	-97.9807+0.7504i	-57.4672+0.7504i	-94.0916+0.7504i
14.7833	-65.8554+0.7504i	-76.6429+0.7504i	-76.2788+0.7504i	-91.3536+0.7504i	-67.8341+0.7504i	-97.2095+0.7504i	-57.5095+0.7504i	-94.2415+0.7504i
14.8000	-65.8729+0.7504i	-75.5635+0.7504i	-76.2387+0.7504i	-91.3259+0.7504i	-67.8189+0.7504i	-97.0834+0.7504i	-57.6074+0.7504i	-94.3373+0.7504i
14.8167	-65.8479+0.7504i	-74.6241+0.7504i	-76.2184+0.7504i	-91.3058+0.7504i	-67.7739+0.7504i	-97.6751+0.7504i	-57.7371+0.7504i	-94.3650+0.7504i
14.8333	-65.7774+0.7504i	-73.8050+0.7504i	-76.2226+0.7504i	-91.2962+0.7504i	-67.7013+0.7504i	-99.0790+0.7504i	-57.8811+0.7504i	-94.3224+0.7504i
14.8500	-65.6878+0.7504i	-73.0884+0.7504i	-76.2482+0.7504i	-91.2977+0.7504i	-67.6021+0.7504i	-101.5688+0.7504i	-58.0246+0.7504i	-94.2264+0.7504i
14.8667	-65.6221+0.7504i	-72.4612+0.7504i	-76.2894+0.7504i	-91.3085+0.7504i	-67.4751+0.7504i	-106.0925+0.7504i	-58.1554+0.7504i	-94.1013+0.7504i
14.8833	-65.6162+0.7504i	-71.9514+0.7504i	-76.3417+0.7504i	-91.3274+0.7504i	-67.3065+0.7504i	-120.9516+0.7504i	-58.2700+0.7504i	-93.9651+0.7504i
14.9000	-65.7291+0.7504i	-71.5867+0.7504i	-76.4022+0.7504i	-91.3552+0.7504i	-67.0743+0.7504i	-107.5301+0.7504i	-58.3739+0.7504i	-93.8287+0.7504i
14.9167	-65.9423+0.7504i	-71.4185+0.7504i	-76.4700+0.7504i	-91.3934+0.7504i	-66.7720+0.7504i	-99.4525+0.7504i	-58.4695+0.7504i	-93.6996+0.7504i
14.9333	-66.2386+0.7504i	-71.4590+0.7504i	-76.5469+0.7504i	-91.4452+0.7504i	-66.4282+0.7504i	-94.6491+0.7504i	-58.5438+0.7504i	-93.5817+0.7504i
14.9500	-66.5899+0.7504i	-71.7064+0.7504i	-76.6371+0.7504i	-91.5146+0.7504i	-66.0813+0.7504i	-91.1567+0.7504i	-58.5789+0.7504i	-93.4728+0.7504i
14.9667	-66.9721+0.7504i	-72.1351+0.7504i	-76.7427+0.7504i	-91.6031+0.7504i	-65.7375+0.7504i	-88.3856+0.7504i	-58.5725+0.7504i	-93.3572+0.7504i
14.9833	-67.3656+0.7504i	-72.6814+0.7504i	-76.8515+0.7504i	-91.7007+0.7504i	-65.3795+0.7504i	-86.0923+0.7504i	-58.5511+0.7504i	-93.2140+0.7504i
