Time (seconds)	Synchronized Synthetic MI Data (dB)	
9.5646	-48.6009+0.7896i
9.5979	-48.4910+0.7896i
9.6312	-48.4434+0.7896i
9.6646	-48.4141+0.7896i
9.6979	-48.4654+0.7896i
9.7312	-48.5735+0.7896i
9.7646	-48.7799+0.7896i
9.7979	-49.1113+0.7896i
9.8312	-49.4948+0.7896i
9.8645	-49.9613+0.7896i
9.8979	-50.3504+0.7896i
9.9312	-50.7037+0.7896i
9.9645	-50.9571+0.7896i
9.9978	-51.1685+0.7896i
10.0312	-51.2809+0.7896i
10.0645	-51.4096+0.7896i
10.0978	-51.5013+0.7896i
10.1311	-51.6899+0.7896i
10.1645	-51.8726+0.7896i
10.1978	-52.1656+0.7896i
10.2311	-52.4774+0.7896i
10.2644	-52.7695+0.7896i
10.2978	-53.0101+0.7896i
10.3311	-53.1783+0.7896i
10.3644	-53.2782+0.7896i
10.3977	-53.3404+0.7896i
10.4311	-53.4693+0.7896i
10.4644	-53.5422+0.7896i
10.4977	-53.5654+0.7896i
10.5311	-53.6425+0.7896i
10.5644	-53.5495+0.7896i
10.5977	-53.2257+0.7896i
10.6310	-52.6796+0.7896i
10.6644	-52.0848+0.7896i
10.6977	-51.5024+0.7896i
10.7310	-51.0227+0.7896i
10.7643	-50.6798+0.7896i
10.7977	-50.4677+0.7896i
10.8310	-50.3710+0.7896i
10.8643	-50.2948+0.7896i
10.8976	-50.2126+0.7896i
10.9310	-50.0758+0.7896i
10.9643	-49.9229+0.7896i
10.9976	-49.7479+0.7896i
11.0309	-49.5384+0.7896i
11.0643	-49.3582+0.7896i
11.0976	-49.1394+0.7896i
11.1309	-48.9284+0.7896i
11.1642	-48.7522+0.7896i
11.1976	-48.5912+0.7896i
11.2309	-48.4514+0.7896i
11.2642	-48.2614+0.7896i
11.2976	-48.0533+0.7896i
11.3309	-47.7868+0.7896i
11.3642	-47.4905+0.7896i
11.3975	-47.2194+0.7896i
11.4309	-47.0220+0.7896i
11.4642	-46.8880+0.7896i
11.4975	-46.8657+0.7896i
11.5308	-46.9573+0.7896i
11.5642	-47.1357+0.7896i
11.5975	-47.4185+0.7896i
11.6308	-47.6703+0.7896i
11.6641	-47.8790+0.7896i
11.6975	-48.0647+0.7896i
11.7308	-48.2036+0.7896i
11.7641	-48.3422+0.7896i
11.7974	-48.4658+0.7896i
11.8308	-48.6231+0.7896i
11.8641	-48.7920+0.7896i
11.8974	-48.9332+0.7896i
11.9308	-49.0942+0.7896i
11.9641	-49.1978+0.7896i
11.9974	-49.3414+0.7896i
12.0307	-49.4755+0.7896i
12.0641	-49.6234+0.7896i
12.0974	-49.7727+0.7896i
12.1307	-49.9899+0.7896i
12.1640	-50.2392+0.7896i
12.1974	-50.4540+0.7896i
12.2307	-50.6971+0.7896i
12.2640	-50.9363+0.7896i
12.2973	-51.0604+0.7896i
12.3307	-51.2664+0.7896i
12.3640	-51.4513+0.7896i
12.3973	-51.6757+0.7896i
12.4306	-51.9356+0.7896i
12.4640	-52.2728+0.7896i
12.4973	-52.6374+0.7896i
12.5306	-53.0334+0.7896i
12.5639	-53.4230+0.7896i
12.5973	-53.8064+0.7896i
12.6306	-54.1839+0.7896i
12.6639	-54.5556+0.7896i
12.6973	-54.8863+0.7896i
12.7306	-55.2101+0.7896i
12.7639	-55.5089+0.7896i
12.7972	-55.8047+0.7896i
12.8306	-56.1096+0.7896i
12.8639	-56.4253+0.7896i
12.8972	-56.8107+0.7896i
