Time (seconds)	Synchronized Synthetic MI Data (S_21 (dB))	
10.3311	-49.7155+0.7896i
10.3644	-49.4559+0.7896i
10.3978	-49.3168+0.7896i
10.4311	-49.2074+0.7896i
10.4644	-49.1650+0.7896i
10.4978	-49.1771+0.7896i
10.5311	-49.2117+0.7896i
10.5644	-49.2608+0.7896i
10.5977	-49.3153+0.7896i
10.6311	-49.4016+0.7896i
10.6644	-49.4461+0.7896i
10.6977	-49.5312+0.7896i
10.7310	-49.5707+0.7896i
10.7644	-49.5788+0.7896i
10.7977	-49.5259+0.7896i
10.8310	-49.3749+0.7896i
10.8643	-49.1080+0.7896i
10.8977	-48.6176+0.7896i
10.9310	-48.0449+0.7896i
10.9643	-47.6654+0.7896i
10.9976	-47.3605+0.7896i
11.0310	-47.1971+0.7896i
11.0643	-47.0103+0.7896i
11.0976	-46.7898+0.7896i
11.1309	-46.4635+0.7896i
11.1643	-46.0743+0.7896i
11.1976	-45.7002+0.7896i
11.2309	-45.2632+0.7896i
11.2643	-44.7446+0.7896i
11.2976	-44.2029+0.7896i
11.3309	-43.6844+0.7896i
11.3642	-43.0881+0.7896i
11.3976	-42.5506+0.7896i
11.4309	-42.0309+0.7896i
11.4642	-41.4894+0.7896i
11.4975	-40.9707+0.7896i
11.5309	-40.4101+0.7896i
11.5642	-39.8538+0.7896i
11.5975	-39.2903+0.7896i
11.6308	-38.7081+0.7896i
11.6642	-38.1412+0.7896i
11.6975	-37.5892+0.7896i
11.7308	-37.0738+0.7896i
11.7641	-36.6002+0.7896i
11.7975	-36.1096+0.7896i
11.8308	-35.6512+0.7896i
11.8641	-35.2577+0.7896i
11.8975	-34.9596+0.7896i
11.9308	-34.7838+0.7896i
11.9641	-34.8216+0.7896i
11.9974	-35.1162+0.7896i
12.0308	-35.6798+0.7896i
12.0641	-36.5200+0.7896i
12.0974	-37.4131+0.7896i
12.1307	-38.3486+0.7896i
12.1641	-39.2865+0.7896i
12.1974	-40.1812+0.7896i
12.2307	-41.0421+0.7896i
12.2640	-41.8064+0.7896i
12.2974	-42.6048+0.7896i
12.3307	-43.3050+0.7896i
12.3640	-43.8924+0.7896i
12.3973	-44.4526+0.7896i
12.4307	-44.9367+0.7896i
12.4640	-45.4176+0.7896i
12.4973	-45.9218+0.7896i
12.5306	-46.4695+0.7896i
12.5640	-46.9860+0.7896i
12.5973	-47.5120+0.7896i
12.6306	-47.8582+0.7896i
12.6640	-48.3853+0.7896i
12.6973	-49.0582+0.7896i
12.7306	-49.7704+0.7896i
12.7639	-50.7028+0.7896i
12.7973	-51.7116+0.7896i
12.8306	-52.7389+0.7896i
12.8639	-53.6951+0.7896i
12.8972	-54.6682+0.7896i
12.9306	-55.3726+0.7896i
12.9639	-56.0635+0.7896i
12.9972	-56.6852+0.7896i
13.0305	-57.1010+0.7896i
13.0639	-57.4547+0.7896i
13.0972	-57.6825+0.7896i
